revision,value
797786,204158088.0
797844,203052067.0
797883,202423705.0
797905,202995784.0
797938,205494243.0
797960,203147394.0
797989,203225025.0
798022,205007774.0
798052,203341829.0
798067,202502021.0
798077,204899299.0
798092,203175726.0
798110,203146426.0
798156,204267607.0
798194,201334513.0
798234,202960024.0
798279,204273185.0
798317,201398007.0
798353,204790943.0
798387,203962473.0
798423,204556744.0
798430,202437802.0
798435,203788828.0
798441,204305516.0
798442,203570983.0
798444,205641692.0
798448,202706572.0
